Request Lables,Concurrency Level,Error %,Average,Median,90th Percentile,95th Percentile,99th Percentile
getThanas,500,0.05,93.41,26.5,247,256,717.25
getColleges,500,0.02,91.59,27.77,246.31,256.15,782.56
getCollegeSVG,500,0.01,95.08,27,246.69,255.7,716.59
final application submission,500,0.24,326.44,167,423,826.05,3882.05
full application process,500,0.24,4543.18,3698,7456.3,9992.35,18230.86
getThanas,1000,0.04,95.02,26.25,245.35,255,927.01
getColleges,1000,0.03,93.66,27.15,243.11,255.05,849.31
getCollegeSVG,1000,0.02,95.77,26.31,244.8,254.62,716.83
final application submission,1000,0.3,351.31,166,472,840,3836.04
full application process,1000,0.3,4977.78,3414,9813.4,13727.4,25924.06
getThanas,1500,0.1,137.17,27.25,251.5,369,1391.82
getColleges,1500,0.07,139.18,28.08,251.62,396.54,1606.97
getCollegeSVG,1500,0.04,134.67,27.15,251.51,428.83,1595.44
final application submission,1500,0.41,349.13,174,536.8,890.8,3047.44
full application process,1500,0.41,6761.78,4594,12641.4,19212.2,36728.6
getThanas,2000,0.21,142.55,27.25,250.75,401.74,1585.3
getColleges,2000,0.07,140.05,28.08,250.92,447.21,1559.16
getCollegeSVG,2000,0.03,135.51,27.15,250.23,393.1,1519.21
final application submission,2000,0.51,357.28,166,438.1,853.1,3536.63
full application process,2000,0.51,7378.82,4508.5,15798.4,23614.3,42402.56
getThanas,2500,0.15,160.85,28.25,254.25,515.46,2041.55
getColleges,2500,0.08,162.42,28.92,254.68,566.49,1735.49
getCollegeSVG,2500,0.07,151.26,28,253.69,624.77,1752.07
final application submission,2500,0.64,444.82,184,592,1300.05,3992.32
full application process,2500,0.64,8494.86,5055,18565.9,27337.1,51454.42
getThanas,3000,0.12,162,27.25,252.25,578.75,2041.05
getColleges,3000,0.08,159.16,28.08,252.38,525.54,1888.22
getCollegeSVG,3000,0.08,151.12,27.15,251.69,581.77,1623.03
final application submission,3000,0.7,381.87,168,422,881,3970.2
full application process,3000,0.7,9500.35,4907,22851,35950,64518.4
getThanas,3500,0.13,146.5,27.25,251.25,367,2034.91
getColleges,3500,0.1,151.93,27.92,250.71,363.17,1707.76
getCollegeSVG,3500,0.06,139.48,27.08,250.85,328.98,1599.43
final application submission,3500,0.79,367.08,167,411,849.2,3962.1
full application process,3500,0.79,9173.56,4839,21448.2,33521.5,63371.18
getThanas,4000,0.21,182.22,28.25,255.5,690.31,2062.8
getColleges,4000,0.17,193.91,29.08,255.31,657.56,2061
getCollegeSVG,4000,0.1,178.45,28.15,255.08,684.67,1768.73
final application submission,4000,0.99,579.76,180,1006,1746.25,4133.95
full application process,4000,0.99,10983.14,5463.5,27258,41716.5,72051.95
getThanas,4500,0.15,173.5,28.25,254.78,687.01,2506.52
getColleges,4500,0.1,174.24,28.92,255.16,636.55,2052.07
getCollegeSVG,4500,0.08,166.07,28.08,254.54,681.16,1889.71
final application submission,4500,0.83,517.11,185,784,997.05,5254.46
full application process,4500,0.83,10229.6,5370,23689.9,37754.7,68008.27
getThanas,5000,0.26,207.41,28.25,256.5,703.15,2982.85
getColleges,5000,0.16,195.51,29.08,256.62,697.71,2645.59
getCollegeSVG,5000,0.08,192.9,28.15,255.77,689.89,2051.65
final application submission,5000,0.77,677.49,188,892.2,3294.6,6396.36
full application process,5000,0.77,13934.57,6240,39465.2,62830.7,84928.06
getThanas,5500,0.32,179.87,27.25,254,591.31,2522.06
getColleges,5500,0.27,186.81,28.31,254.08,595.77,1933.56
getCollegeSVG,5500,0.18,175.57,27.38,253.69,652.96,1882.46
final application submission,5500,0.86,366.93,176,479,844,4133.5
full application process,5500,0.86,13355.92,5214.5,38597,61221.5,87215.5
getThanas,6000,0.26,191.19,28.25,255.75,697.35,2097.83
getColleges,6000,0.14,214.82,28.92,256.15,695.51,2876.9
getCollegeSVG,6000,0.08,189.34,28.15,255.6,692.85,2195.85
final application submission,6000,0.89,530.79,188,828,1069.8,4980.56
full application process,6000,0.89,13569.01,6082,38043.4,57299.4,84568.64